"orden";"sitios";"codigo";"fecha";"año";"campaña";"tem_agua";"tem_aire";"od";"ph";"olores";"color";"espumas";"mat_susp";"colif_fecales_ufc_100ml";"escher_coli_ufc_100ml";"enteroc_ufc_100ml";"nitrato_mg_l";"nh4_mg_l";"p_total_l_mg_l";"fosf_ortofos_mg_l";"dbo_mg_l";"dqo_mg_l";"turbiedad_ntu";"hidr_deriv_petr_ug_l";"cr_total_mg_l";"cd_total_mg_l";"clorofila_a_ug_l";"microcistina_ug_l";"ica";"calidad_de_agua"
"1";"Canal Villanueva y Río Luján";"TI001";"22/2/2023";"2023";"Verano";"26";"24";"6.59";"7.24";"Ausencia";"Ausencia";"Ausencia";"Presencia";"600";"100";"130";"3.9";"<0.05";"0.26";"<0.10";"<2.0";"<30";"29";"<0.10";"<0.005";"<0.001";"0.87";"<0.15";"53";"Muy deteriorada "
"2";"Río Lujan y Arroyo Caraguatá";"TI006";"22/2/2023";"2023";"Verano";"26.8";"25";"5.94";"6.96";"Ausencia";"Ausencia";"Ausencia";"Presencia";"1000";"400";"1.500";"5.2";"0.25";"0.16";"0.11";"2.1";"<30";"24";"<0.10";"<0.005";"<0.001";"10.61";"0.21";"39";"Extremadamente deteriorada"
"3";"Canal Aliviador y Río Lujan";"TI002";"22/2/2023";"2023";"Verano";"27.6";"24";"6.14";"6.88";"Ausencia";"Ausencia";"Ausencia";"Presencia";"2000";"1000";"100";"3.5";"2.2";"0.41";"0.36";"4.1";"<30";"21";"<0.10";"<0.005";"<0.001";"16.87";"2.98";"35";"Extremadamente deteriorada"
"4";"Río Carapachay y Arroyo Gallo Fiambre";"TI003";"22/2/2023";"2023";"Verano";"26.1";"25";"5.02";"6.82";"Ausencia";"Ausencia";"Ausencia";"Presencia";"6000";"500";"220";"3.9";"0.56";"0.23";"0.17";"2.2";"<30";"28";"<0.10";"0.005";"<0.001";"10.89";"<0.15";"37";"Extremadamente deteriorada"
"5";"Río Reconquista y Río Lujan";"TI004";"22/2/2023";"2023";"Verano";"25.9";"24";"5.28";"6.69";"Ausencia";"Presencia";"Ausencia";"Presencia";"15000";"3200";"560";"4.3";"1.5";"0.44";"0.25";"3.3";"<30";"24";"<0.10";"<0.005";"<0.001";"8.57";"<0.15";"34";"Extremadamente deteriorada"
"6";"Rio Tigre 100m antes del Rio Luján";"TI005";"22/2/2023";"2023";"Verano";"25.2";"24";"5.02";"6.4";"Ausencia";"Presencia";"Ausencia";"Presencia";"2000";"1100";"100";"7.3";"3.8";"0.5";"0.4";"4.3";"<30";"20";"<0.10";"<0.005";"<0.001";"18.37";"<0.15";"31";"Extremadamente deteriorada"
"7";"Río Lujan y Canal San Fernando";"TI007";"22/2/2023";"2023";"Verano";"29.4";"29";"3.45";"6.83";"Presencia";"Presencia";"Ausencia";"Presencia";"21000";"7200";"1.190";"3.4";"4.6";"0.52";"0.48";"3.5";"<30";"6";"<0.10";"<0.005";"<0.001";"11.02";"<0.15";"29";"Extremadamente deteriorada"
"8";"Río Capitán y Río San Antonio";"TI008";"22/2/2023";"2023";"Verano";"28.5";"29";"6.7";"7.04";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"800";"120";"110";"2.8";"<0.05";"<0.10";"<0.10";"<2.0";"<30";"28";"<0.10";"<0.005";"<0.001";"<0.10";"<0.15";"62";"Muy deteriorada "
"9";"Arroyo Abra Vieja y Santa Rosa";"TI009";"22/2/2023";"2023";"Verano";"28";"29";"5.19";"6.91";"Ausencia";"Ausencia";"Ausencia";"Presencia";"1200";"350";"550";"2.1";"0.23";"0.23";"0.12";"<2.0";"<30";"45";"<0.10";"0.006";"<0.001";"25.58";"<0.15";"37";"Extremadamente deteriorada"
"10";"Del Arca";"SF015";"22/2/2023";"2023";"Verano";"26";"14";"5.65";"";"Ausencia";"Ausencia";"Ausencia";"Presencia";"15000";"4700";"920";"5.1";"1.2";"0.26";"0.23";"2.1";"<30";"21";"<0.10";"<0.005";"<0.001";"<0.10";"2.61";"35";"Extremadamente deteriorada"
"11";"Espigón La Farola";"SI021";"22/2/2023";"2023";"Verano";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra"
"12";"Reserva Ecológica";"SI022";"22/2/2023";"2023";"Verano";"28";"27";"6.5";"6";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"1700";"1000";"60";"4.3";"0.51";"0.46";"0.19";"3.1";"52";"20";"<0.10";"<0.005";"<0.001";"11.81";"<0.15";"37";"Extremadamente deteriorada"
"13";"Playa Espigón de Pacheco";"SI024";"22/2/2023";"2023";"Verano";"28.7";"30";"8.53";"6.95";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"5200";"4500";"110";"5.5";"0.5";"0.3";"0.28";"2.5";"<30";"24";"<0.10";"<0.005";"<0.001";"6.7";"0.99";"40";"Extremadamente deteriorada"
"14";"Perú Puente";"SI023";"22/2/2023";"2023";"Verano";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió";"no se midió"
"15";"Reserva Barrio El Ceibo";"VL033";"22/2/2023";"2023";"Verano";"25.9";"28";"8.27";"7.24";"Ausencia";"Ausencia";"Ausencia";"Presencia";"7600";"1400";"1.500";"10.1";"0.75";"0.52";"0.36";"4.1";"<30";"16";"<0.10";"<0.005";"<0.001";"falto un frasco";"0.27";"34";"Extremadamente deteriorada"
"16";"Puerto de Olivos Espigón";"VL032";"22/2/2023";"2023";"Verano";"25.5";"28";"6.79";"6.60";"Ausencia";"Ausencia";"Ausencia";"Presencia";"2000";"1200";"320";"7.3";"0.44";"0.27";"0.23";"3";"57";"15";"<0.10";"<0.005";"<0.001";"falto un frasco";"0.18";"36";"Extremadamente deteriorada"
"17";"Costa y Melo";"VL031";"22/2/2023";"2023";"Verano";"24";"28";"7.41";"6.58";"Ausencia";"Ausencia";"Ausencia";"Presencia";"7000";"1600";"300";"5.4";"0.92";"0.41";"0.24";"4.9";"<30";"14";"<0.10";"0.033";"<0.001";"falto un frasco";"0.41";"34";"Extremadamente deteriorada"
"18";"Parque de los Niños";"CA041";"22/2/2023";"2023";"Verano";"27.8";"no se midió";"8";"7.7";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"1100";"1100";"400";"<44";"0.4";"0.35";"0.29";"7";"<50";"33";"<0.10";"<0.005";"<0.001";"<0.10";"0.27";"49";"Muy deteriorada "
"19";"Costanera Norte - Espigón Abanico";"CA044";"22/2/2023";"2023";"Verano";"25.2";"no se midió";"6.4";"7.3";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"1300";"1300";"780";"<44";"0.6";"0.35";"0.21";"<5";"<50";"50";"<0.10";"<0.005";"<0.001";"<0.10";"<0.15";"38";"Extremadamente deteriorada"
"20";"Club de Pescadores";"CA046";"22/2/2023";"2023";"Verano";"26.4";"no se midió";"7.9";"7.7";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"1700";"1600";"480";"<44";"0.1";"0.45";"0.17";"6";"<50";"65";"<0.10";"<0.005";"<0.001";"20.82";"0.41";"40";"Extremadamente deteriorada"
"21";"Reserva Ecológica Costanera Sur - Playita";"CA047";"22/2/2023";"2023";"Verano";"25.6";"no se midió";"8.4";"7.8";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"850";"850";"300";"<44";"<0.1";"0.33";"0.23";"17";"<50";"66";"<0.10";"0.0075";"<0.001";"2.23";"<0.15";"45";"Muy deteriorada "
"22";"Escollera de Propaneros";"AV054";"22/2/2023";"2023";"Verano";"24.69";"25";"3.03";"7";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"7000";"2200";"200";"9.9";"<0.05";"0.64";"0.57";"4.9";"<30";"23";"<0.10";"0.005";"<0.001";"19.6";"0.54";"37";"Extremadamente deteriorada"
"23";"Polo Petroquímico Dock Sud";"AV051";"22/2/2023";"2023";"Verano";"23.87";"26";"4.85";"7.23";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"1000";"100";"240";"3.7";"0.44";"0.47";"0.32";"2.6";"<30";"27";"<0.10";"<0.005";"<0.001";"3.67";"0.16";"45";"Muy deteriorada "
"24";"Arroyo Sarandí";"AV052";"22/2/2023";"2023";"Verano";"24.2";"26";"4.99";"7.36";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"1000";"200";"120";"3.6";"0.63";"0.28";"0.22";"3.5";"<30";"23";"<0.10";"0.005";"<0.001";"7.62";"0.2";"38";"Extremadamente deteriorada"
"25";"Costa de Villa Domínico";"AV055";"22/2/2023";"2023";"Verano";"24.5";"26";"3.02";"7.45";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"4000";"2000";"10";"10.6";"<0.05";"0.75";"0.36";"5.3";"<30";"21";"<0.10";"0.007";"<0.001";"17.06";"0.9";"39";"Extremadamente deteriorada"
"26";"Arroyo Santo Domingo";"AV053";"22/2/2023";"2023";"Verano";"24.6";"26";"1.99";"7.5";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"5000";"900";"10";"9.9";"<0.05";"0.42";"0.4";"4.5";"<30";"21";"<0.10";"0.009";"<0.001";"4.57";"0.25";"40";"Extremadamente deteriorada"
"27";"Espora 400 m";"QU061";"22/2/2023";"2023";"Verano";"25.3";"28";"6.82";"5.32";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"1000";"170";"25";"7";"0.76";"0.68";"0.33";"6.3";"<30";"23";"<0.10";"0.007";"<0.001";"44.42";"<0.15";"37";"Extremadamente deteriorada"
"28";"Náutico 400 m";"QU062";"22/2/2023";"2023";"Verano";"25";"28";"6.3";"5.31";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"2000";"120";"2";"7.6";"0.59";"0.38";"0.23";"3.2";"<30";"35";"<0.10";"0.007";"<0.001";"2.61";"<0.15";"47";"Muy deteriorada "
"29";"Pejerrey Club 400 m";"QU063";"22/2/2023";"2023";"Verano";"25";"28";"7.23";"6.32";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"6000";"400";"30";"6.9";"0.24";"0.34";"0.18";"2.7";"<30";"38";"<0.10";"0.011";"<0.001";"3.1";">5.00";"no se pudo calcular";""
"30";"Calle 14 y Costa - Salida cloaca";"BZ078";"22/2/2023";"2023";"Verano";"no se midió";"24";"no se midió";"no se midió";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"1000";"800";"530";"2.4";"0.05";"0.86";"0.14";"17";"120";"150";"<0.10";"<0.005";"<0.001";"174.32";">5.00";"no se pudo calcular";""
"31";"Puerto Trinidad calle 47";"BZ077";"22/2/2023";"2023";"Verano";"no se midió";"26";"no se midió";"no se midió";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"4000";"130";"200";"<2.0";"<0.05";"0.55";"0.16";"6.5";"59";"140";"<0.10";"0.006";"<0.001";"133.41";">5.00";"no se pudo calcular";""
"32";"Costanera Hudson Calle 63";"BZ080";"22/2/2023";"2023";"Verano";"no se midió";"28";"no se midió";"no se midió";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"7000";"100";"120";"<2.0";"0.06";"0.52";"0.14";"7.6";"96";"120";"<0.10";"<0.005";"<0.001";"101.82";">5.00";"no se pudo calcular";""
"33";"Boca Cerrada (Res.Nat. Punta Lara)";"EN-extra";"22/2/2023";"2023";"Verano";"no se midió";"24";"no se midió";"no se midió";"Ausencia";"Presencia";"Ausencia";"Presencia";"200";"100";"20";"<2.0";"0.07";"0.36";"0.12";"4.1";"38";"80";"<0.10";"<0.005";"<0.001";"101.82";">5.00";"no se pudo calcular";""
"34";"Camping Eva Perón";"EN081";"22/2/2023";"2023";"Verano";"25.4";"25";"11.49";"9.59";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"300";"40";"60";"2.4";"0.06";"0.26";"0.1";"3.5";"<30";"60";"<0.10";"<0.005";"<0.001";"82.3";">5.00";"no se pudo calcular";""
"35";"Toma de agua Club de Pesca";"EN082";"22/2/2023";"2023";"Verano";"24.2";"25";"7.13";"8.69";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"700";"60";"40";"2.5";"<0.05";"0.81";"0.2";"11";"230";"432";"<0.10";"<0.005";"<0.001";"740.93";">5.00";"no se pudo calcular";""
"36";"Arroyo El Gato";"EN083";"22/2/2023";"2023";"Verano";"24.4";"25";"2.68";"7.82";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"22000";"5600";"2.400";"2.7";"11";"0.59";"0.17";"12";"90";"65";"<0.10";"<0.005";"<0.001";"52.69";">5.00";"no se pudo calcular";""
"37";"Ensenada Prefectura Isla Santiago";"EN084";"22/2/2023";"2023";"Verano";"22.8";"25";"6.13";"8.07";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"12000";"320";"100";"5.6";"0.11";"0.3";"0.12";"3.2";"40";"27";"<0.10";"<0.005";"<0.001";"34.02";">5.00";"no se pudo calcular";""
"38";"Balneario Palo Blanco";"BS092";"22/2/2023";"2023";"Verano";"22";"25";"6.24";"7.75";"Ausencia";"Ausencia";"Ausencia";"Presencia";"7000";"3200";"480";"3.7";"4";"0.57";"0.4";"3.8";"<30";"30";"<0.10";"<0.005";"<0.001";"53.07";">5.00";"no se pudo calcular";""
"39";"Diagonal 66 (descarga cloaca)";"BS095";"22/2/2023";"2023";"Verano";"22";"25";"5.92";"7.96";"Presencia";"Presencia";"Presencia";"Presencia";"9000";"2000";"1.000";"<2.0";"18";"1.6";"1.6";"4.8";"<30";"2.9";"<0.10";"<0.005";"<0.001";"17.42";">5.00";"no se pudo calcular";""
"40";"Playa La Bagliardi";"BS091";"22/2/2023";"2023";"Verano";"21";"25";"6.65";"7.76";"Ausencia";"Ausencia";"Ausencia";"Presencia";"4000";"500";"280";"5.6";"0.84";"0.54";"0.41";"3.3";"70";"13";"<0.10";"<0.005";"<0.001";"<0.10";">5.00";"no se pudo calcular";""
"41";"Balneario Municipal";"BS094";"22/2/2023";"2023";"Verano";"20";"24";"7.53";"8.21";"Ausencia";"Ausencia";"Ausencia";"Presencia";"700";"400";"330";"2.9";"0.51";"0.27";"0.17";"3.7";"59";"95";"<0.10";"0.008";"<0.001";"20.52";">5.00";"no se pudo calcular";""
"42";"Playa La Balandra";"BS093";"22/2/2023";"2023";"Verano";"20";"23";"5.8";"7.47";"Ausencia";"Ausencia";"Ausencia";"Presencia";"1200";"900";"720";"3.2";"0.57";"0.79";"0.53";"3.4";"58";"17";"<0.10";"<0.005";"<0.001";"<0.10";">5.00";"no se pudo calcular";""
"1";"Canal Villanueva y Río Luján";"TI001";"10/5/2023";"2023";"otoño";"18";"12";"7.09";"7.22";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"3200";"2200";"770";"3.90";"0.30";"0.16";"0.15";"<2.0";"<30";"45.00";"<0.10";"<0.005";"<1.0";"2.56";"<0.15";"39";"Extremadamente deteriorada"
"2";"Río Lujan y Arroyo Caraguatá";"TI006";"10/5/2023";"2023";"otoño";"18";"12";"7.12";"7.22";"Ausencia";"Ausencia";"Ausencia";"Presencia";"300";"1100";"300";"6.70";"0.13";"0.11";"0.10";"<2.0";"<30";"60.00";"<0.10";"<0.005";"<1.0";"0.67";"<0.15";"38";"Extremadamente deteriorada"
"3";"Canal Aliviador y Río Lujan";"TI002";"10/5/2023";"2023";"otoño";"18";"12";"6.16";"7.33";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"5.000";"3.000";"200";"4.20";"0.86";"0.21";"0.20";"<2.0";"<30";"45.00";"<0.10";"<0.005";"<1.0";"<0.10";"<0.15";"37";"Extremadamente deteriorada"
"4";"Río Carapachay y Arroyo Gallo Fiambre";"TI003";"10/5/2023";"2023";"otoño";"18";"12";"6.08";"7.32";"Ausencia";"Ausencia";"Presencia";"Ausencia";"4000";"2.900";"640";"4.80";"0.99";"0.18";"0.17";"2.00";"<30";"50.00";"<0.10";"<0.005";"<1.0";"<0.10";"<0.15";"35";"Extremadamente deteriorada"
"5";"Río Reconquista y Río Lujan";"TI004";"10/5/2023";"2023";"otoño";"18";"12";"5.85";"7.06";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"2.000";"1.500";"250";"5.30";"0.49";"0.19";"0.18";"<2.0";"<30";"45.00";"<0.10";"<0.005";"<1.0";"0.35";"<0.15";"40";"Extremadamente deteriorada"
"6";"Rio Tigre 100m antes del Rio Luján";"TI005";"10/5/2023";"2023";"otoño";"19";"11";"5.26";"7.05";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"41.000";"20.000";"9300";"9.60";"3.00";"0.31";"0.30";"3.60";"<30";"45.00";"<0.10";"<0.005";"<1.0";"1.31";"<0.15";"35";"Extremadamente deteriorada"
"7";"Río Lujan y Canal San Fernando";"TI007";"10/5/2023";"2023";"otoño";"18";"15";"5.88";"7.16";"Ausencia";"Ausencia";"Ausencia";"Presencia";"4.000";"600";"930";"4.30";"0.75";"0.21";"0.20";"<2.0";"<30";"50.00";"<0.10";"<0.005";"<1.0";"1.28";"<0.15";"35";"Extremadamente deteriorada"
"8";"Río Capitán y Río San Antonio";"TI008";"10/5/2023";"2023";"otoño";"19";"14";"8.09";"7.30";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"sin muestra";"sin muestra";"sin muestra";"3.10";"0.06";"0.10";"<0.10";"<2.0";"<30";"70.00";"<0.10";"<0.005";"<1.0";"0.35";"<0.15";"43";"Extremadamente deteriorada"
"9";"Arroyo Abra Vieja y Santa Rosa";"TI009";"10/5/2023";"2023";"otoño";"18";"14";"7.82";"7.08";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"235";"220";"140";"<2.0";"0.07";"0.10";"<0.10";"<2.0";"<30";"65.00";"<0.10";"0.0051";"<1.0";"0.91";"<0.15";"40";"Extremadamente deteriorada"
"10";"Del Arca";"SF015";"10/5/2023";"2023";"otoño";"19";"20";"5.85";"no funcionó";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"5000";"1400";"300";"6.20";"0.62";"0.21";"0.20";"<2.0";"<30";"40.00";"<0.10";"<0.005";"<1.0";"2.79";"<0.15";"35";"Extremadamente deteriorada"
"11";"Espigón La Farola";"SI021";"10/5/2023";"2023";"otoño";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra";"en obra"
"12";"Reserva Ecológica";"SI022";"10/5/2023";"2023";"otoño";"18";"21";"6.32";"no funcionó";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"1.300";"600";"130";"5.30";"0.77";"0.15";"0.14";"<2.0";"<30";"23.00";"<0.10";"<0.005";"<1.0";"7.40";"<0.15";"35";"Extremadamente deteriorada"
"13";"Playa Espigón de Pacheco";"SI024";"10/5/2023";"2023";"otoño";"18";"22";"5.16";"no funcionó";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"5800";"4200";"500";"6.90";"0.94";"0.20";"0.19";"<2.0";"<30";"13.00";"<0.10";"<0.005";"<1.0";"6.40";"<0.15";"35";"Extremadamente deteriorada"
"14";"Perú Puente";"SI023";"10/5/2023";"2023";"otoño";"20";"22";"3.24";"no funcionó";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"24.000";"19000";"5000";"20.00";"2.90";"0.43";"0.33";"3.10";"<30";"3.50";"<0.10";"<0.005";"<1.0";"1.31";"<0.15";"32";"Extremadamente deteriorada"
"15";"Reserva Barrio El Ceibo";"VL033";"10/5/2023";"2023";"otoño";"18";"16";"6.60";"6.73";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"3.400";"3.400";"800";"8.70";"0.93";"0.22";"0.21";"<2.0";"<30";"14.00";"<0.10";"<0.005";"<1.0";"2.72";"<0.15";"37";"Extremadamente deteriorada"
"16";"Puerto de Olivos Espigón";"VL032";"10/5/2023";"2023";"otoño";"18";"15";"5.20";"6.74";"Ausencia";"Ausencia";"Ausencia";"Ausencia";"4.200";"4.000";"100";"8.80";"1.00";"0.21";"0.20";"<2.0";"<30";"12.00";"<0.10";"<0.005";"<1.0";"<0.10";"<0.15";"37";"Extremadamente deteriorada"
