Orden;Sitios;codigo;Fecha;Año;Campaña;Tem_agua;Tem_aire;pH;Olores;Color;Espumas;Mat_susp;colif_totales_ufc_100ml;escher_coli_ufc_100ml;enteroc_ufc_100ml;Nitrato_mg_l;NH4_mg_l;P_de_ortof_mg_l;P_total_l_mg_l;DQO_mg_l;DBO_mg_l;Turbiedad_NTU;Hidr_Deriv_del_Petroleo_ug_l;Cr_total_mg_l;Cd_total_mg_l;Microcistina_ug_l;Clorofila_a_ug_l;ICA;Calidad_de_agua
1;Canal Villanueva y Río Luján;TI001;6/2/2019;2019;verano;26.7;4.26;6.95;ausencia;ausencia;ausencia;ausencia;400;140;30;5.5;<0.05;0.53;0.62;59;12;56;57;<0.006;<0.002;<0.5;<10;59;Muy deteriorada
2;Río Lujan y Arroyo Caraguatá;TI006;6/2/2019;2019;verano;26;3.78;6.78;ausencia;ausencia;ausencia;ausencia;300;60;<10;5.2;0.16;0.39;0.43;46;8;42;49;<0.006;<0.002;<0.5;<10;70;Deteriorada
3;Canal Aliviador y Río Lujan;TI002;6/2/2019;2019;verano;26.5;3.4;6.98;ausencia;presencia;ausencia;ausencia;1200;800;180;6.6;0.59;0.31;0.39;127;6;49;121;<0.006;<0.002;<0.5;<10;51;Muy deteriorada
4;Río Carapachay y Arroyo Gallo Fiambre;TI003;6/2/2019;2019;verano;26.3;3.18;6.79;ausencia;ausencia;ausencia;ausencia;200;120;550;3.2;0.1;0.15;0.19;56;10;51;195;<0.006;<0.002;<0.5;<10;61;Muy deteriorada
5;Río Reconquista y Río Lujan;TI004;6/2/2019;2019;verano;26.5;3.47;7.04;presencia;presencia;ausencia;ausencia;3000;2500;200;3;0.62;<0.1;0.37;24;10;50;49;<0.006;<0.002;<0.5;<10;46;Muy deteriorada
6;Rio Tigre 100m antes del Rio Luján;TI005;6/2/2019;2019;verano;27;3.52;6.95;ausencia;presencia;ausencia;ausencia;1900;1400;400;3;0.25;0.29;0.5;42;6;51;49;<0.006;<0.002;<0.5;<10;52;Muy deteriorada
7;Río Lujan y Canal San Fernando;TI007;6/2/2019;2019;verano;26.9;3.48;7.38;ausencia;ausencia;ausencia;ausencia;5000;1600;1000;3.5;1.87;0.29;0.29;32;8;44;49;<0.006;<0.002;<0.5;<10;47;Muy deteriorada
8;Río Capitán y Río San Antonio;TI008;6/2/2019;2019;verano;27.5;4.38;7.16;ausencia;ausencia;ausencia;presencia;400;70;100;2.9;<0.05;<0.1;2.34;40;8;71;49;<0.006;<0.002;<0.5;<10;48;Muy deteriorada
9;Arroyo Abra Vieja y Santa Rosa;TI009;6/2/2019;2019;verano;26;3.85;7.16;ausencia;ausencia;ausencia;ausencia;600;150;110;6.6;<0.05;<0.1;0.37;54;12;60;49;<0.006;<0.002;<0.5;<10;62;Muy deteriorada
10;Del Arca;SF015;6/2/2019;2019;verano;26.3;4.25;4.46;ausencia;ausencia;presencia;presencia;4800;2200;<10;4.8;0.57;<0.1;0.68;22;12;54;49;<0.006;<0.002;<0.5;<10;41;Extremadamente deteriorada
11;Espigón La Farola;SI021;6/2/2019;2019;verano;28;5.74;5.01;ausencia;ausencia;ausencia;ausencia;1800;300;<10;3.9;0.43;0.15;0.25;27;8;50;49;<0.006;<0.002;<0.5;<10;66;Deteriorada
12;Reserva Ecológica;SI022;6/2/2019;2019;verano;28.8;7.32;7.1;ausencia;ausencia;ausencia;ausencia;1200;900;<10;5.1;0.17;<0.1;0.62;32;6;64;49;<0.006;<0.002;<0.5;<10;61;Muy deteriorada
13;Playa Espigón de Pacheco;SI024;6/2/2019;2019;verano;28.4;6.8;6.4;ausencia;ausencia;ausencia;ausencia;46000;29600;3200;6.3;0.7;0.19;1.42;24;7;41;72;<0.006;<0.002;<0.5;<10;37;Extremadamente deteriorada
14;Perú Puente;SI023;6/2/2019;2019;verano;25.2;1.56;4.85;presencia;ausencia;presencia;presencia;200000;179500;15800;10;7.46;0.8;0.94;37;24;8;49;<0.006;<0.002;<0.5;<10;27;Extremadamente deteriorada
15;Reserva Barrio El Ceibo ;VL033;6/2/2019;2019;verano;26.6;7.5;7.63;ausencia;ausencia;ausencia;presencia;9000;7900;850;11.9;0.38;<0.1;0.43;32;6;42;49;<0.006;<0.002;<0.5;<10;45;Muy deteriorada
16;Puerto de Olivos Espigón;VL032;6/2/2019;2019;verano;25.9;6.3;7.4;ausencia;ausencia;ausencia;ausencia;34000;28100;800;9.8;0.34;<0.1;0.19;42;6;49;49;<0.006;<0.002;<0.5;<10;42;Extremadamente deteriorada
17;Costa y Melo;VL031;6/2/2019;2019;verano;25.5;7.5;7.45;ausencia;ausencia;ausencia;presencia;18500;16600;950;10.6;0.16;0.19;1.29;37;6;50;225;<0.006;<0.002;<0.5;<10;40;Extremadamente deteriorada
18;Parque de los Niños;CA041;6/2/2019;2019;verano;27.4;4.6;7.8;no se midió;no se midió;no se midió;no se midió;900;900;330;3;0.25;0.07;0.23;<50;<5;49;no se midió;<0.02;<0.002;<0.5;<10;53;Muy deteriorada
19;Costanera Norte - Espigón Abanico;CA044;6/2/2019;2019;verano;26.2;3.6;7.6;no se midió;no se midió;no se midió;no se midió;200;150;600;2;2.31;0.08;0.26;<50;<5;38;no se midió;<0.02;<0.002;<0.5;<10;49;Muy deteriorada
20;Club de Pescadores;CA046;6/2/2019;2019;verano;27.3;5.1;7.8;no se midió;no se midió;no se midió;no se midió;25000;25000;19000;2;2.44;0.09;0.29;<50;<5;163;no se midió;<0.02;<0.002;<0.5;<10;34;Extremadamente deteriorada
21;Reserva Ecológica Costanera Sur - Playita;CA047;6/2/2019;2019;verano;25.9;4.7;8;no se midió;no se midió;no se midió;no se midió;52;52;31;2;0.25;0.05;0.16;<50;<5;61;no se midió;<0.02;<0.002;<0.5;<10;81;Levemente deteriorada
22;Escollera de Propaneros;AV054;6/2/2019;2019;verano;26.7;ND;6;ausencia;ausencia;ausencia;ausencia;5000;4400;50;5.6;0.35;0.15;0.43;40;26;55;49;<0.006;<0.002;<0.5;<10;46;Muy deteriorada
23;Polo Petroquímico Dock Sud;AV051;6/2/2019;2019;verano;26.4;ND;6.2;ausencia;ausencia;ausencia;ausencia;2600;2400;<10;5.5;0.66;0.15;0.25;29;10;58;49;<0.006;<0.002;<0.5;<10;54;Muy deteriorada
24;Arroyo Sarandí;AV052;6/2/2019;2019;verano;26.9;ND;6.4;ausencia;ausencia;ausencia;ausencia;5200;4500;450;5.7;0.66;0.18;0.74;47;8;34;49;<0.006;<0.002;<0.5;<10;44;Extremadamente deteriorada
25;Costa de Villa Domínico     ;AV055;6/2/2019;2019;verano;26.7;ND;6.5;ausencia;ausencia;ausencia;ausencia;2700;2600;650;4.1;0.79;0.13;0.25;59;14;54;49;<0.006;<0.002;<0.5;<10;48;Muy deteriorada
26;Arroyo Santo Domingo;AV053;6/2/2019;2019;verano;27;ND;6.8;ausencia;ausencia;ausencia;ausencia;600;500;100;4.5;0.93;0.31;0.99;52;16;39;49;<0.006;<0.002;<0.5;<10;51;Muy deteriorada
27;Espora 400 m;QU061;6/2/2019;2019;verano;24;6.81;7.29;ausencia;ausencia;ausencia;presencia;200;200;<10;5.7;0.33;0.32;0.68;37;20;61;121;<0.006;<0.002;<0.5;<10;58;Muy deteriorada
28;Náutico 400 m;QU062;6/2/2019;2019;verano;24;7.3;7.28;ausencia;ausencia;ausencia;presencia;600;240;<10;6.9;0.37;0.25;0.42;44;14;79;195;<0.006;<0.002;<0.5;<10;61;Muy deteriorada
29;Pejerrey Club 400 m;QU063;6/2/2019;2019;verano;25;5.99;7.26;ausencia;ausencia;ausencia;presencia;400;400;<10;5.5;0.37;0.15;0.19;23;10;66;49;<0.006;<0.002;<0.5;<10;74;Deteriorada
30;Calle 14 y Costa - Salida cloaca;BZ078;13/2/2019;2019;verano;25;9.49;8.11;presencia;ausencia;ausencia;presencia;11000;4800;1050;5.5;0.61;0.31;0.42;43;28;35;49;<0.006;<0.002;<0.5;18;39;Extremadamente deteriorada
31;Puerto Trinidad calle 47;BZ077;13/2/2019;2019;verano;22.1;9.18;8.07;ausencia;ausencia;ausencia;ausencia;2800;1400;1400;7.3;0.05;0.31;0.99;56;26;33;75;<0.006;<0.002;<0.5;23;45;Muy deteriorada
32;Costanera Hudson Calle 63;BZ080;13/2/2019;2019;verano;22;7.59;7.94;ausencia;ausencia;ausencia;ausencia;4000;1900;1300;5.4;<0.05;0.15;1.42;47;22;31;49;<0.006;<0.002;<0.5;23;46;Muy deteriorada
33;Camping Eva Perón;EN081;6/2/2019;2019;verano;25.2;6.51;8.23;ausencia;ausencia;ausencia;ausencia;800;450;50;5.4;0.23;<0.1;0.56;37;4;41;49;<0.006;<0.002;<0.5;11;62;Muy deteriorada
34;Toma de agua Club de Pesca;EN082;6/2/2019;2019;verano;25.7;5.8;7.99;ausencia;ausencia;ausencia;ausencia;1400;500;50;7;0.08;0.13;0.18;49;12;90;49;<0.006;<0.002;<0.5;<10;66;Deteriorada
35;Arroyo El Gato;EN083;6/2/2019;2019;verano;25.5;4.66;8.08;ausencia;ausencia;ausencia;ausencia;20000;19250;400;6;4.95;0.39;1.17;62;18;41;49;<0.006;<0.002;<0.5;13;38;Extremadamente deteriorada
36;Ensenada Prefectura Isla Santiago;EN084;6/2/2019;2019;verano;25.9;4.23;7.93;ausencia;ausencia;ausencia;ausencia;7500;7000;500;8.1;0.05;<0.1;0.25;42;10;39;49;<0.006;<0.002;<0.5;<10;46;Muy deteriorada
37;Balneario Palo Blanco;BS092;6/2/2019;2019;verano;20;5.38;7.67;ausencia;ausencia;presencia;ausencia;14000;12900;1300;4.7;2.41;0.18;0.19;76;14;25;49;<0.006;<0.002;0.5;<10;39;Extremadamente deteriorada
38;Diagonal 66 (descarga cloaca);BS095;6/2/2019;2019;verano;18;5.03;8.11;presencia;presencia;presencia;presencia;16800;11000;1200;3;10.1;0.6;0.62;85;16;8;106;<0.006;<0.002;<0.5;<10;30;Extremadamente deteriorada
39;Playa La Bagliardi;BS091;6/2/2019;2019;verano;20;7.77;7.87;ausencia;ausencia;presencia;ausencia;11200;8400;1900;5.5;0.47;0.3;0.99;52;4;46;49;<0.006;<0.002;0.54;10;43;Extremadamente deteriorada
40;Balneario Municipal;BS094;6/2/2019;2019;verano;20;5.93;8.05;ausencia;ausencia;ausencia;ausencia;350;150;200;4.2;0.28;1.6;1.66;66;12;86;49;<0.006;<0.002;<0.5;<10;50;Muy deteriorada
41;Playa La Balandra;BS093;6/2/2019;2019;verano;20;7.02;7.65;ausencia;ausencia;ausencia;ausencia;1000;950;850;3.6;0.09;0.25;0.25;57;7;36;49;<0.006;<0.002;<0.5;<10;57;Muy deteriorada
1;Canal Villanueva y Río Luján;TI001;28/5/2019;2019;otoño;16;6.49;7.43;Ausencia;Ausencia;Ausencia;Presencia;300;300;30;4;0.07;0.26;1.3;21;4;74;150;<0.006;<0.002;<0.5;<10;53;Muy deteriorada
2;Río Lujan y Arroyo Caraguatá;TI006;28/5/2019;2019;otoño;16.4;5.21;7.16;Ausencia;Ausencia;Ausencia;Ausencia;400;400;70;3;0.17;0.17;1.8;22;6;69;<50;<0.006;<0.002;<0.5;<10;51;Muy deteriorada
3;Canal Aliviador y Río Lujan;TI002;28/5/2019;2019;otoño;16;0.21;7.43;Ausencia;Presencia;Ausencia;Presencia;3900;3800;950;2.6;2.62;0.52;0.52;22;8;45;140;<0.006;<0.002;<0.5;<10;38;Extremadamente deteriorada
4;Río Carapachay y Arroyo Gallo Fiambre;TI003;28/5/2019;2019;otoño;16.8;6.76;7.2;Ausencia;Ausencia;Ausencia;Ausencia;500;500;350;2.6;0.25;0.2;0.49;17;6;74;<50;<0.006;<0.002;<0.5;<10;60;Muy deteriorada
5;Río Reconquista y Río Lujan;TI004;28/5/2019;2019;otoño;16.8;6.12;7.31;Ausencia;Ausencia;Ausencia;Presencia;1400;1300;700;2.6;0.73;0.19;1.37;25;10;66;70;<0.006;<0.002;<0.5;<10;45;Muy deteriorada
6;Rio Tigre 100m antes del Rio Luján;TI005;28/5/2019;2019;otoño;16.5;5.61;7.74;Ausencia;Presencia;Ausencia;Presencia;36000;33400;12900;4.5;9.5;0.46;0.8;37;10;29;130;<0.006;<0.002;<0.5;<10;35;Extremadamente deteriorada
7;Río Lujan y Canal San Fernando;TI007;28/5/2019;2019;otoño;16.5;6.27;7.37;Ausencia;Ausencia;Ausencia;Presencia;14400;9600;1800;2.5;1;0.26;0.26;55;8;62;90;<0.006;<0.002;<0.5;<10;40;Extremadamente deteriorada
8;Río Capitán y Río San Antonio;TI008;28/5/2019;2019;otoño;17.8;7.99;7.43;Ausencia;Ausencia;Ausencia;Ausencia;250;250;40;2.7;<0.05;0.2;0.7;47;11;89;110;<0.006;<0.002;<0.5;<10;58;Muy deteriorada
9;Arroyo Abra Vieja y Santa Rosa;TI009;28/5/2019;2019;otoño;16.5;7.32;7.2;Ausencia;Ausencia;Ausencia;Ausencia;600;400;200;2.2;<0.05;<0.1;0.59;37;6;90;190;<0.006;<0.002;<0.5;<10;58;Muy deteriorada
10;Del Arca;SF015;28/5/2019;2019;otoño;14;4.17;7.52;Ausencia;Ausencia;Ausencia;Vegetacion;26000;19000;5950;4.6;2.3;0.39;0.39;29;11;51;<50;<0.006;<0.002;<0.5;<10;37;Extremadamente deteriorada
11;Espigón La Farola;SI021;28/5/2019;2019;otoño;dragando por obras de remodelación en el Puerto de SI;dragando por obras de remodelación en el Puerto de SI;dragando por obras de remodelación en el Puerto de SI;dragando por obras de remodelación en el Puerto de SI;dragando por obras de remodelación en el Puerto de SI;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió;no se midió
12;Reserva Ecológica;SI022;28/5/2019;2019;otoño;17.5;7.14;7.73;Ausencia;Ausencia;Ausencia;Ausencia;4400;4400;950;4.3;0.65;0.49;0.62;42;4;60;<50;<0.006;<0.002;<0.5;<10;47;Muy deteriorada
13;Playa Espigón de Pacheco;SI024;28/5/2019;2019;otoño;16;8.58;7.88;Ausencia;Ausencia;Ausencia;Ausencia;3600;2400;200;8.7;0.35;0.24;0.6;51;8;82;<50;<0.006;<0.002;<0.5;<10;52;Muy deteriorada
14;Perú Puente;SI023;28/5/2019;2019;otoño;19.7;4.7;7.72;Ausencia;Ausencia;Ausencia;Ausencia;13000;9600;4600;23.1;1.19;0.24;0.6;17;8;5.5;<50;<0.006;<0.002;<0.5;<10;40;Extremadamente deteriorada
15;Reserva Barrio El Ceibo ;VL033;15/5/2019;2019;otoño;17.7;8.3;7.6;Ausencia;Ausencia;Ausencia;Ausencia;34600;24300;5000;23;1.28;<0.1;0.25;29;10;83;<50;<0.006;<0.002;<0.5;<10;39;Extremadamente deteriorada
16;Puerto de Olivos Espigón;VL032;15/5/2019;2019;otoño;16.8;7;7.19;Ausencia;Ausencia;Ausencia;Ausencia;4200;2500;400;6.4;0.6;<0.1;0.13;17;8;90;<50;<0.006;<0.002;<0.5;<10;-;-
17;Costa y Melo;VL031;15/5/2019;2019;otoño;16.2;8.7;8.08;Ausencia;Ausencia;Ausencia;Presencia;8800;7400;2800;11.8;0.05;<0.1;0.34;24;18;10;<50;<0.006;<0.002;<0.5;<10;40;Extremadamente deteriorada
18;Parque de los Niños;CA041;15/5/2019;2019;otoño;16.3;6.2;7.8;no se midió;no se midió;no se midió;no se midió;12000;10000;500;<10;1.54;-;0.28;<50;<5;132;-;<0.02;<0.002;<0.5;<10;37;Extremadamente deteriorada
19;Costanera Norte - Espigón Abanico;CA044;15/5/2019;2019;otoño;16.7;5.1;7.7;no se midió;no se midió;no se midió;no se midió;22000;18000;5500;<10;2.19;-;0.3;<50;<5;120;-;<0.02;<0.002;<0.5;<10;35;Extremadamente deteriorada
20;Club de Pescadores;CA046;15/5/2019;2019;otoño;20.1;6.4;8.1;no se midió;no se midió;no se midió;no se midió;4000;4000;450;<10;1.41;-;0.26;<50;<5;153;-;<0.02;<0.002;<0.5;<10;41;Extremadamente deteriorada
21;Reserva Ecológica Costanera Sur - Playita;CA047;15/5/2019;2019;otoño;17.1;6.8;8;no se midió;no se midió;no se midió;no se midió;1400;1400;80;<10;0.6;-;0.21;<50;<5;10;-;<0.02;<0.002;<0.5;<10;54;Muy deteriorada
22;Escollera de Propaneros;AV054;15/5/2019;2019;otoño;18.2;5.84;7.51;Ausente;Ausente;Ausente;Ausente;15800;14200;4250;4.3;1.44;0.3;0.55;29;10;85;<50;<0.006;<0.002;<0.5;<10;41;Extremadamente deteriorada
23;Polo Petroquímico Dock Sud;AV051;15/5/2019;2019;otoño;17.6;4.7;7.53;Ausente;Ausente;Ausente;Ausente;17200;14500;4250;4;1.21;0.34;0.75;37;8;94;59;<0.006;<0.002;<0.5;<10;38;Extremadamente deteriorada
24;Arroyo Sarandí;AV052;15/5/2019;2019;otoño;18.5;6.35;7.77;Ausente;Ausente;Ausente;Ausente;2200;2200;700;4.5;1.54;0.36;0.98;25;10;67;<50;<0.006;<0.002;<0.5;<10;48;Muy deteriorada
25;Costa de Villa Domínico     ;AV055;15/5/2019;2019;otoño;17.7;5.2;7.57;Ausente;Ausente;Ausente;Ausente;205000;202500;7300;2.4;1.93;0.73;0.73;63;13;51;<50;<0.006;<0.002;<0.5;<10;38;Extremadamente deteriorada
26;Arroyo Santo Domingo;AV053;15/5/2019;2019;otoño;17.6;0.28;7.45;Ausente;Ausente;Ausente;Ausente;75000;66000;6950;3;2.34;0.8;0.96;48;12;44;<50;<0.006;<0.002;<0.5;<10;37;Extremadamente deteriorada
27;Espora 400 m;QU061;15/5/2019;2019;otoño;14;6.52;7.3;Ausente;Ausente;Ausente;2 cayalotes;21000;18800;3150;3.5;2.21;0.44;0.63;21;10;53;<50;<0.006;<0.002;<0.5;<10;41;Extremadamente deteriorada
28;Náutico 400 m;QU062;15/5/2019;2019;otoño;15;8.3;no se midió;Ausente;Ausente;Ausente;Ausente;4600;3400;30;4;1;0.33;0.75;29;10;84;<50;<0.006;<0.002;<0.5;<10;48;Muy deteriorada
29;Pejerrey Club 400 m;QU063;15/5/2019;2019;otoño;15;9.29;7.04;Ausente;Ausente;Ausente;Presencia;4000;3100;150;5.9;0.78;0.36;0.4;17;8;99;<50;<0.006;<0.002;<0.5;<10;49;Muy deteriorada
30;Calle 14 y Costa - Salida cloaca;BZ078;15/5/2019;2019;otoño;16.9;12.39;8.52;Presencia;Ausencia;Ausencia;Ausencia;3600;3500;300;8.3;0.76;0.47;0.59;38;20;85;<50;<0.006;<0.002;<0.5;15;43;Extremadamente deteriorada
31;Puerto Trinidad calle 47;BZ077;15/5/2019;2019;otoño;16.4;9.77;7.85;Ausencia;Ausencia;Ausencia;Ausencia;2900;2700;650;6;0.43;0.37;0.65;29;20;45;<50;<0.006;<0.002;<0.5;<10;49;Muy deteriorada
32;Costanera Hudson Calle 63;BZ080;15/5/2019;2019;otoño;14.2;10.72;7.53;Ausencia;Ausencia;Ausencia;Ausencia;900;600;350;7.8;0.1;0.51;0.55;21;18;67;<50;<0.006;<0.002;<0.5;<10;56;Muy deteriorada
33;Camping Eva Perón;EN081;15/5/2019;2019;otoño;16.7;9.8;8.34;Ausencia;Ausencia;Ausencia;Ausencia;400;100;<10;8.6;0.22;0.41;0.41;59;14;100;<50;<0.006;<0.002;<0.5;<10;70;Deteriorada
34;Toma de agua Club de Pesca;EN082;15/5/2019;2019;otoño;16.7;8.39;8.13;Ausencia;Ausencia;Ausencia;Ausencia;150;150;10;8.9;<0.05;0.43;0.6;25;18;97;<50;<0.006;<0.002;<0.5;<10;66;Deteriorada
35;Arroyo El Gato;EN083;15/5/2019;2019;otoño;15.6;1.47;7.86;Ausencia;Ausencia;Ausencia;Ausencia;163500;151500;9000;2.7;8.5;0.6;0.87;90;32;53;<50;<0.006;<0.002;<0.5;<10;36;Extremadamente deteriorada
36;Ensenada Prefectura Isla Santiago;EN084;15/5/2019;2019;otoño;16.3;4.52;7.74;Ausencia;Ausencia;Ausencia;Ausencia;1700;1600;300;11.8;0.2;0.16;0.17;70;22;56;<50;<0.006;<0.002;<0.5;<10;55;Muy deteriorada
37;Balneario Palo Blanco;BS092;15/5/2019;2019;otoño;10;6.78;7.62;Ausencia;Ausencia;Ausencia;Ausencia;20900;19200;5800;4.6;2.6;0.57;0.57;51;10;31;<50;<0.006;<0.002;<0.5;<10;41;Extremadamente deteriorada
38;Diagonal 66 (descarga cloaca);BS095;15/5/2019;2019;otoño;10;8.28;8.08;Presencia;Presencia;Presencia;Ausencia;119000;116000;18600;4.8;4.17;0.61;0.7;48;8;65;<50;<0.006;<0.002;<0.5;<10;34;Extremadamente deteriorada
39;Playa La Bagliardi;BS091;15/5/2019;2019;otoño;10;9.97;8.51;Ausencia;Ausencia;Ausencia;Ausencia;2800;2500;550;6.5;0.97;0.43;0.5;29;10;87;<50;<0.006;<0.002;<0.5;<10;49;Muy deteriorada
40;Balneario Municipal;BS094;15/5/2019;2019;otoño;10;9.72;8.31;Ausencia;Presencia;Ausencia;Presencia;1200;800;500;5.7;0.17;0.4;0.4;17;10;96;<50;<0.006;<0.002;<0.5;<10;53;Muy deteriorada
41;Playa La Balandra;BS093;15/5/2019;2019;otoño;10;8.48;7.73;Ausencia;Ausencia;Ausencia;Ausencia;250;250;10;3.7;0.21;0.4;0.99;59;12;41;<50;<0.006;<0.002;<0.5;<10;69;Deteriorada
1;Canal Villanueva y Río Luján;TI001;7/8/2019;2019;invierno;14.1;9.45;7.62;Ausencia;Ausencia;Ausencia;Ausencia;100;100;300;3.9;0.14;0.12;0.12;46;<2;96;<50;<0.006;<0.002;<0.5;<10;77;Deteriorada
